step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent,price,momentum,value_delta
0,0.01,0.050287109375,0.0,0.0,0.0,0.0,1.0,0.0,True,0.05,0.00028710937500000004,0,0,0.0,0.0,100.00000009570313,9.570312500000002e-07,0.0
1,0.02,0.10056273437499999,0.0,0.0,0.0,0.0,1.0,0.0,True,0.1,0.000562734375,0,0,0.0,0.0,100.00000028806642,2.7849609375000007e-06,0.0
2,0.03,0.15082721953125,0.0,0.0,0.0,0.0,1.0,0.0,True,0.15,0.00082721953125,0,0,0.0,0.0,100.00000057773107,5.403111328125001e-06,0.0
3,0.04,0.20108090018750002,0.0,0.0,0.0,0.0,1.0,0.0,True,0.2,0.0010809001875,0,0,0.0,0.0,100.0000009650467,8.735956386718752e-06,0.0
4,0.05,0.2513241027296875,0.0,0.0,0.0,0.0,1.0,0.0,True,0.25,0.0013241027296874998,0,0,0.0,0.0,100.00000145009406,1.2712834333007816e-05,0.0
5,0.060000000000000005,0.3015571448101125,0.0,0.0,0.0,0.0,1.0,0.0,True,0.30000000000000004,0.0015571448101125,0,0,0.0,0.0,100.00000203270652,1.7267675316732428e-05,0.0
6,0.07,0.3517803355662287,0.0,0.0,0.0,0.0,1.0,0.0,True,0.35000000000000003,0.0017803355662286253,0,0,0.0,0.0,100.0000027124901,2.233874343832456e-05,0.0
7,0.08,0.40199397583417606,0.0,0.0,0.0,0.0,1.0,0.0,True,0.4,0.00199397583417606,0,0,0.0,0.0,100.00000348884247,2.786839238032853e-05,0.0
8,0.09,0.45219835835717914,0.0,0.0,0.0,0.0,1.0,0.0,True,0.45,0.002198358357179106,0,0,0.0,0.0,100.00000436097058,3.380283395190913e-05,0.0
9,0.09999999999999999,0.5023937679889283,0.0,0.0,0.0,0.0,1.0,0.0,True,0.5,0.00239376798892836,0,0,0.0,0.0,100.00000532790746,4.0091918884074874e-05,0.0
10,0.10999999999999999,0.5525804818920648,0.0,0.0,0.0,0.0,1.0,0.0,True,0.55,0.002580481892064772,0,0,0.0,0.0,100.00000638852775,4.66889292467537e-05,0.0
11,0.11999999999999998,0.5777587697318801,0.0,0.0,0.0,0.0,1.0,0.0,True,0.5750000000000001,0.0027587697318801558,0,0,0.0,0.0,100.00000754156238,5.35503818906832e-05,0.0
12,0.12999999999999998,0.6279288938653462,0.0,0.0,0.0,0.0,1.0,0.0,True,0.625,0.0029288938653460987,0,0,0.0,0.0,100.00000878561234,6.063584234730271e-05,0.0
13,0.13999999999999999,0.6780911095255806,0.0,0.0,0.0,0.0,1.0,0.0,True,0.675,0.0030911095255806522,0,0,0.0,0.0,100.0000101191615,6.790774864853975e-05,0.0
14,0.15,0.8032456650018598,0.0,0.0,0.0,0.0,1.0,0.0,True,0.8,0.003245665001859684,0,0,0.0,0.0,100.00001154058873,7.533124455564505e-05,0.0
15,0.16,0.8533928018152774,0.0,0.0,0.0,0.0,1.0,0.0,True,0.85,0.0033928018152773226,0,0,0.0,0.0,100.00001304817907,8.287402171212055e-05,0.0
16,0.17,0.9035327548901575,0.0,0.0,0.0,0.0,1.0,0.0,True,0.9000000000000001,0.0035327548901575136,0,0,0.0,0.0,100.00001464013435,9.05061702603729e-05,0.0
17,0.18000000000000002,0.9536657527213164,0.0,0.0,0.0,0.0,1.0,0.0,True,0.9500000000000001,0.003665752721316383,0,0,0.0,0.0,100.00001631458302,9.820003748507554e-05,0.0
18,0.19000000000000003,1.0412920175372729,0.0,0.0,0.0,0.0,1.0,0.0,True,1.0375,0.0037920175372728373,0,0,0.0,0.0,100.00001806958933,0.00010593009406839788,0.0
19,0.20000000000000004,1.0914117654595024,0.0,0.0,0.0,0.0,1.0,0.0,True,1.0875,0.003911765459502505,0,0,0.0,0.0,100.00001990316196,0.00011367280756331969,0.0
20,0.21000000000000005,1.141525206657828,0.0,0.0,0.0,0.0,1.0,0.0,True,1.1375000000000002,0.004025206657828078,0,0,0.0,0.0,100.00002181326192,0.00012140652271124732,0.0
21,0.22000000000000006,1.1916325455020367,0.0,0.0,0.0,0.0,1.0,0.0,True,1.1875,0.004132545502036827,0,0,0.0,0.0,100.00002379781013,0.00012911134824914104,0.0
22,0.23000000000000007,1.2792339807098143,0.0,0.0,0.0,0.0,1.0,0.0,True,1.275,0.004233980709814094,0,0,0.0,0.0,100.00002585469426,0.00013676904986939764,0.0
23,0.24000000000000007,1.3293297054910795,0.0,0.0,0.0,0.0,1.0,0.0,True,1.325,0.004329705491079456,0,0,0.0,0.0,100.00002798177523,0.00014436294901285928,0.0
24,0.25000000000000006,1.3794199076888103,0.0,0.0,0.0,0.0,1.0,0.0,True,1.375,0.004419907688810278,0,0,0.0,0.0,100.00003017689316,0.00015187782719158392,0.0
25,0.26000000000000006,1.4295047699164356,0.0,0.0,0.0,0.0,1.0,0.0,True,1.4249999999999998,0.004504769916435435,0,0,0.0,0.0,100.00003243787296,0.00015929983555345616,0.0
26,0.2700000000000001,1.47958446969188,0.0,0.0,0.0,0.0,1.0,0.0,True,1.475,0.004584469691880062,0,0,0.0,0.0,100.00003476252945,0.00016661640941538356,0.0
27,0.2800000000000001,1.5296591795683403,0.0,0.0,0.0,0.0,1.0,0.0,True,1.525,0.004659179568340329,0,0,0.0,0.0,100.00003714867219,0.0001738161875057488,0.0
28,0.2900000000000001,1.5547290672618654,0.0,0.0,0.0,0.0,1.0,0.0,True,1.55,0.004729067261865434,0,0,0.0,0.0,100.0000395941098,0.00018088893567001283,0.0
29,0.3000000000000001,1.6047942957758223,0.0,0.0,0.0,0.0,1.0,0.0,True,1.6,0.004794295775822199,0,0,0.0,0.0,100.00004209665404,0.00018782547480591954,0.0
30,0.3100000000000001,1.654855023522316,0.0,0.0,0.0,0.0,1.0,0.0,True,1.65,0.004855023522315947,0,0,0.0,0.0,100.00004465412367,0.00019461761280667672,0.0
31,0.3200000000000001,1.7424114044406398,0.0,0.0,0.0,0.0,1.0,0.0,True,1.7375,0.004911404440639616,0,0,0.0,0.0,100.00004726434771,0.00020125808030180828,0.0
32,0.3300000000000001,1.7924635881128217,0.0,0.0,0.0,0.0,1.0,0.0,True,1.7875,0.004963588112821412,0,0,0.0,0.0,100.00004992516874,0.0002077404699961226,0.0
33,0.34000000000000014,1.8425117198763399,0.0,0.0,0.0,0.0,1.0,0.0,True,1.8375,0.005011719876339679,0,0,0.0,0.0,100.00005263444574,0.00021405917941744876,0.0
34,0.35000000000000014,1.8925559409340722,0.0,0.0,0.0,0.0,1.0,0.0,True,1.8875000000000002,0.005055940934072089,0,0,0.0,0.0,100.00005539005673,0.0002202093568934833,0.0
35,0.36000000000000015,1.9175963884615448,0.0,0.0,0.0,0.0,1.0,0.0,True,1.9125,0.005096388461544666,0,0,0.0,0.0,100.00005818990121,0.00022618685058729135,0.0
36,0.37000000000000016,1.9676331957115447,0.0,0.0,0.0,0.0,1.0,0.0,True,1.9625000000000001,0.005133195711544711,0,0,0.0,0.0,100.00006103190235,0.0002319881604297425,0.0
37,0.38000000000000017,2.01766649211616,0.0,0.0,0.0,0.0,1.0,0.0,True,2.0125,0.005166492116160135,0,0,0.0,0.0,100.00006391400895,0.00023761039279545583,0.0
38,0.3900000000000002,2.1051964033863064,0.0,0.0,0.0,0.0,1.0,0.0,True,2.1,0.005196403386306324,0,0,0.0,0.0,100.00006683419724,0.0002430512177767041,0.0
